DisputeStage,DisputeStatus,DisputeId,DueDate,ReasonCategory,DisputeTime,ReasonCode,ChargebackTxnAmount,MerchantUserId,TransactionChannel,CardType,TransactionTime,ChargebackAmount,ChargebackTxnCurrency,ReasonMsg,RefundPayType,WinRate,ARN,CardScheme,CardNumberMasked,CardBIN,CardFundingType,IssuerName,IssuerCountry,NetworkReasonCode,ChargebackReceivedDate,ChargebackCaseRef,RepresentmentDeadline,IsSecondPresentment,ProcessorName,AcquirerName,AcquirerMID,PaymentTransactionId,PspReferenceId,AuthorizationCode,PaymentMethod,TransactionAmount,TransactionCurrency,TransactionStatus,SettlementDate,AvsResult,CvvResult,ThreeDSStatus,ThreeDSLiabilityShift,DeviceIp,DeviceType,RefundIssued,RefundAmount,RefundDate,OrderId,OrderDate,ProductName,ProductCategory,Sku,Quantity,UnitPrice,OrderTotalAmount,OrderCurrency,OrderStatus,DeliveryStatus,ShippingCarrier,TrackingNumber,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ProofOfDelivery,DeliverySignedBy,DeliveryAddressLine1,DeliveryCity,DeliveryState,DeliveryPostalCode,DeliveryCountry,BillingShippingMatch,UserId,UserFullName,UserEmail,UserPhone,AccountCreatedDate,KycVerified,AccountStatus,TotalOrdersLifetime,TotalSpendLifetime,AvgOrderValue,LastOrderId,LastOrderDate,PreviousChargebackCount,PreviousChargebacksWon,DisputeRatePct,CustomerRiskTier,CaseOutcome,OutcomeDate
PRE_ARB,NEED_RESPONSE,63jhkdsawuieyj12,2026-08-20 00:00:00,processing,2026-06-10 20:46:22,WO,26.17,7665434528917652430,Ahjsgfskjaksldwuleurhjhjdhfsj,MASTERCARD,2026-07-01T18:01:47Z,55.67,NGN,DT-product_unacceptable,"RefundToCredit, OriginalRefund",0.00594656964656967,53672946671168457759017,Mastercard,589988XXXXXX8015,589988,Prepaid,Guaranty Trust Bank,ID,WO,2026-06-10,CBK-2026-200041,2026-08-20 00:00:00,No,Cybersource,Chase Paymentech,MID954352670,TXN-20260701-81729237,WLP642075774411,381581,Card - Recurring,26.17,NGN,Captured,2026-07-03,Z - Zip Only,P - Not Processed,Y - Authenticated,Yes,212.175.24.12,iOS App,Yes,26.17,2026-06-12,ORD-202607-100289,2026-07-01 17:28:47,Running Shoes,Footwear,FTW-8529-BLK,2,13.09,26.17,NGN,Completed,Delivered,J&T Express,UP1408988968,2026-07-03,2026-07-05,2026-07-04,Yes - OTP Confirmed,N/A,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652430,Budi Johnson,budi.johnson@gmail.com,+62269633510,2023-03-22,No,Suspended,23,4079.05,177.35,ORD-202512-100708,2025-12-09,1,0,4.35,Medium,Won,2026-06-23
PRE_ARB,NEED_RESPONSE,h5yiulkkas23488,2026-08-21 00:00:00,fraud,2026-06-10 20:46:25,C04,131,7665434528917652431,Ahjkoiywebkbmxiykjsdfskjdhfsj,KLARNA,2026-06-20T13:59:00Z,255.99,IDR,subscription_canceled,OriginalRefund,0.00605132946711896,71293870051627136111554,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,ID,C04,2026-06-10,CBK-2026-200042,2026-08-21 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID510943598,TXN-20260620-27870584,STR680114410575,690653,BNPL,131,IDR,Captured,2026-06-23,Z - Zip Only,P - Not Processed,N - Not Authenticated,No,100.109.77.236,Mobile Web,Yes,131,2026-06-11,ORD-202606-100295,2026-06-20 13:45:00,Leather Sneakers,Footwear,FTW-8248-WHT,3,43.67,131,IDR,Completed,Delivered,DHL Express,BD7981917208,2026-06-23,2026-06-30,2026-06-30,Yes - Photo,N/A,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652431,Emily Wijaya,emily.wijaya@outlook.com,+62207873599,2025-11-11,Yes,Active,42,5247.06,124.93,ORD-202604-718213,2026-04-16,0,0,0,Low,Decision Pending,
PRE_ARB,NEED_RESPONSE,viosdyui6890wek9,2026-08-22 00:00:00,others,2026-06-10 20:46:28,F29,135.10,7665434528917652432,Ahjsgfskjaksldwuleurhjhjdhfsj,AMEX,2026-07-02T21:09:19Z,55.23,USD,fraudulent,<UNSET>,0.00615608928766826,79180552696582710910430,American Express,378035XXXXX6152,378035,Credit,Access Bank,US,F29,2026-06-10,CBK-2026-200043,2026-08-22 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID774922644,TXN-20260702-77249653,WLP870618387758,521818,Card - Ecom,135.1,USD,Captured,2026-07-04,Y - Full Match,N - No Match,Y - Authenticated,Yes,31.104.79.138,Desktop Web,No,0,,ORD-202607-100302,2026-07-02 20:18:19,Standing Desk Converter,Furniture,FUR-7401-GRY,1,135.1,135.1,USD,Completed,Delivered,Blue Dart,FX8506931282,2026-07-04,2026-07-11,2026-07-11,Yes - Signature,Daniel Williams,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652432,Daniel Williams,daniel.williams@outlook.com,+1433041955,2022-07-19,No,Active,2,547.22,273.61,ORD-202604-160718,2026-04-09,1,1,50,Medium,Decision Pending,
PRE_ARB,NEED_RESPONSE,kmgjdshoiwer8799,2026-08-23 00:00:00,merchandise,2026-06-11 09:41:37,1040,10.47,7665434528917652433,Ahjkoiywebkbmxiykjsdfskjdhfsj,DISCOVER,2026-06-26T14:57:32Z,70.35,NGN,product_not_received,RefundToCredit,0.00626084910821755,05648149177850792524191,Discover,601121XXXXXX8118,601121,Credit,Barclays,NG,1040,2026-06-11,CBK-2026-200044,2026-08-23 00:00:00,No,Worldpay,Worldpay Inc.,MID147285340,TXN-20260626-11649277,STR615593564679,481657,Card - Wallet Token,10.47,NGN,Captured,2026-06-27,Y - Full Match,P - Not Processed,Y - Authenticated,Yes,68.164.127.107,Desktop Web,Yes,10.47,2026-06-13,ORD-202606-100314,2026-06-26 14:21:32,Ergonomic Office Chair,Furniture,FUR-5444-BLK,2,5.24,10.47,NGN,Completed,Delivered,UPS,DH5998623100,2026-06-28,2026-07-04,2026-07-03,Yes - Signature,Meera Patel,"7 Aminu Kano Crescent, Wuse II",Abuja,FCT,900288,NG,Yes,7665434528917652433,Meera Patel,meera.patel@outlook.com,+234228205773,2022-09-01,Yes,Active,48,10354.08,215.71,ORD-202605-334026,2026-05-11,0,0,0,Low,Won,2026-06-18
PRE_ARB,NEED_RESPONSE,Agysjdkfshjdwewuier234991,2026-08-24 00:00:00,authorization,2026-06-11 20:46:22,Duplicate payment,22.05,7665434528917652434,Ahjsgfskjaksldwuleurhjhjdhfsj,VISA,2026-06-28T23:20:14Z,29.24,IDR,credit_not_processed,"OriginalRefund, RefundToCredit",0.00636560892876685,97383206038505064138367,Visa,462550XXXXXX2129,462550,Credit,Chase Bank,US,Duplicate payment,2026-06-11,CBK-2026-200045,2026-08-24 00:00:00,No,Adyen,Adyen N.V.,MID199886596,TXN-20260628-15892193,STR553203914925,834891,Card - Recurring,22.05,IDR,Settled,2026-07-01,Y - Full Match,M - Match,A - Attempted,No,140.68.201.20,iOS App,Yes,22.05,2026-06-16,ORD-202606-100319,2026-06-28 22:47:14,Annual Streaming Subscription,Digital Goods,DIG-8126-WHT,1,22.05,22.05,IDR,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-06-28,2026-06-28,2026-06-28,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),US,N/A,7665434528917652434,Rahul Okafor,rahul.okafor@mail.com,+1354231714,2026-05-13,Yes,Active,24,1828.8,76.2,ORD-202603-992247,2026-03-08,1,1,4.17,Medium,Decision Pending,
PRE_ARB,NEED_RESPONSE,65jkhhdsfhsweriu9,2026-08-25 00:00:00,processing,2026-06-12 20:46:25,1370,12.89,7665434528917652435,Ahjkoiywebkbmxiykjsdfskjdhfsj,MASTERCARD,2026-06-23T05:36:02Z,69.83,USD,PRODUCTS_NOT_RECEIVED,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.00647036874931614,12490352135680442067883,Mastercard,561505XXXXXX6345,561505,Credit,HSBC,US,1370,2026-06-12,CBK-2026-200046,2026-08-25 00:00:00,No,Cybersource,Chase Paymentech,MID963177562,TXN-20260623-28762704,ADY164475864041,970708,Card - Ecom,12.89,USD,Captured,2026-06-24,N - No Match,N - No Match,Y - Authenticated,Yes,186.43.132.235,iOS App,Yes,12.89,2026-06-15,ORD-202606-100325,2026-06-23 04:35:02,Air Fryer 5L,Home & Kitchen,HNK-1357-BLK,2,6.45,12.89,USD,Completed,Delivered,UPS,BD7296658772,2026-06-25,2026-06-27,2026-06-26,Yes - Signature,Sari Okafor,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652435,Sari Okafor,sari.okafor@yahoo.com,+1793623149,2025-08-19,No,Active,50,12494.5,249.89,ORD-202605-196446,2026-05-12,0,0,0,Low,Won,2026-06-17
PRE_ARB,NEED_RESPONSE,63jhkdsawuieyj13,2026-08-26 00:00:00,fraud,2026-06-13 20:46:28,34,29.02,7665434528917652436,Ahjsgfskjaksldwuleurhjhjdhfsj,KLARNA,2026-07-03T18:26:50Z,15.36,NGN,The user informed that the invoice is incorrect,"RefundToCredit, OriginalRefund",0.00657512856986544,47687014626383806578759,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,NG,34,2026-06-13,CBK-2026-200047,2026-08-26 00:00:00,No,Cybersource,Chase Paymentech,MID517021222,TXN-20260703-46297263,STR448004290576,726121,BNPL,29.02,NGN,Captured,2026-07-04,A - Address Only,M - Match,Y - Authenticated,Yes,218.241.183.197,Android App,Yes,29.02,2026-06-18,ORD-202607-100334,2026-07-03 17:05:50,Ergonomic Office Chair,Furniture,FUR-3615-BLK,1,29.02,29.02,NGN,Completed,Delivered,J&T Express,FX4901136913,2026-07-05,2026-07-09,2026-07-08,Yes - Signature,Priya Wijaya,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652436,Priya Wijaya,priya.wijaya@mail.com,+234805302800,2024-03-17,Yes,Active,32,767.68,23.99,ORD-202604-659614,2026-04-11,1,0,3.12,Medium,Decision Pending,
PRE_ARB,NEED_RESPONSE,h5yiulkkas23489,2026-08-27 00:00:00,others,2026-06-10 09:41:37,1330,70.99,7665434528917652437,Ahjkoiywebkbmxiykjsdfskjdhfsj,AMEX,2026-07-06T12:03:36Z,46.9,IDR,PRODUCTS_FAULTY,OriginalRefund,0.00667988839041473,87059325250029218515691,American Express,347363XXXXX6813,347363,Debit,Capital One,US,1330,2026-06-10,CBK-2026-200048,2026-08-27 00:00:00,No,Adyen,Adyen N.V.,MID246513857,TXN-20260706-31139813,WLP803480606983,610866,Card - Recurring,70.99,IDR,Captured,2026-07-09,A - Address Only,M - Match,Y - Authenticated,Yes,181.89.193.79,Desktop Web,Yes,70.99,2026-06-12,ORD-202607-100338,2026-07-06 10:44:36,Running Shoes,Footwear,FTW-3086-WHT,1,70.99,70.99,IDR,Completed,Delivered,Blue Dart,BD7623374739,2026-07-07,2026-07-12,2026-07-12,Yes - Signature,Ravi Brown,742 Evergreen Terrace,Springfield,IL,62704,US,Yes,7665434528917652437,Ravi Brown,ravi.brown@outlook.com,+1853775825,2023-02-11,No,Under Review,2,459.1,229.55,ORD-202606-133955,2026-06-04,0,0,0,Low,Won,2026-06-23
PRE_ARB,NEED_RESPONSE,viosdyui6890wek10,2026-08-28 00:00:00,merchandise,2026-06-10 20:46:22,1261,67.15,7665434528917652438,Ahjsgfskjaksldwuleurhjhjdhfsj,DISCOVER,2026-06-18T17:51:26Z,446.38,USD,product_unacceptable,<UNSET>,0.00678464821096403,10067626765861793271040,Discover,601187XXXXXX6213,601187,Debit,Capital One,GB,1261,2026-06-10,CBK-2026-200049,2026-08-28 00:00:00,No,Checkout.com,Checkout Ltd,MID179672074,TXN-20260618-55876720,STR516130496180,268720,Card - Ecom,67.15,USD,Captured,2026-06-20,N - No Match,M - Match,A - Attempted,No,121.84.222.41,iOS App,No,0,,ORD-202606-100346,2026-06-18 17:41:26,Adjustable Dumbbell Set,Sports,SPT-2659-BLU,1,67.15,67.15,USD,Completed,Delivered,UPS,DH6737000272,2026-06-19,2026-06-23,2026-06-23,Yes - Signature,Ravi Adeyemi,221B Baker Street,London,Greater London,NW1 6XE,GB,Yes,7665434528917652438,Ravi Adeyemi,ravi.adeyemi@mail.com,+44303994042,2025-08-04,No,Under Review,22,5331.26,242.33,ORD-202604-857111,2026-04-05,0,0,0,Low,Won,2026-06-15
PRE_ARB,NEED_RESPONSE,kmgjdshoiwer8800,2026-08-29 00:00:00,authorization,2026-06-10 20:46:25,1310,11,7665434528917652439,Ahjkoiywebkbmxiykjsdfskjdhfsj,VISA,2026-06-18T07:22:36Z,21.65,NGN,Cancellation of Recurring Goods/Services services,RefundToCredit,0.00688940803151332,74186256527047743490211,Visa,496585XXXXXX5612,496585,Prepaid,Guaranty Trust Bank,ID,1310,2026-06-10,CBK-2026-200050,2026-08-29 00:00:00,Yes,Braintree,PayPal Braintree,MID912239392,TXN-20260618-89151743,STR166802211551,981639,Card - Wallet Token,11,NGN,Settled,2026-06-21,N - No Match,M - Match,Y - Authenticated,Yes,132.153.40.102,iOS App,Yes,11,2026-06-11,ORD-202606-100354,2026-06-18 06:41:36,Stainless Steel Cookware Set,Home & Kitchen,HNK-9226-GRY,1,11,11,NGN,Completed,Delivered,GIG Logistics,FX1416555576,2026-06-19,2026-06-22,2026-06-21,Yes - Signature,Priya Ibrahim,Jl. Gatot Subroto Kav 21,Jakarta,DKI Jakarta,12930,ID,Yes,7665434528917652439,Priya Ibrahim,priya.ibrahim@mail.com,+62229151674,2025-07-09,No,Active,4,500.2,125.05,ORD-202602-275284,2026-02-09,0,0,0,Low,Won,2026-06-28
CB,NEED_RESPONSE,Agysjdkfshjdwewuier234992,2026-08-30 00:00:00,processing,2026-06-10 20:46:28,12.6.1,07,7665434528917652440,Ahjsgfskjaksldwuleurhjhjdhfsj,MASTERCARD,2026-07-02T06:39:39Z,47.23,IDR,Damaged or defective goods received.,"OriginalRefund, RefundToCredit",0.00699416785206262,61622999119148564679970,Mastercard,535260XXXXXX3067,535260,Credit,Capital One,ID,12.6.1,2026-06-10,CBK-2026-200051,2026-08-30 00:00:00,Yes,Worldpay,Worldpay Inc.,MID254460628,TXN-20260702-92979370,BRT863133280377,521233,Card - Ecom,7,IDR,Settled,2026-07-04,Z - Zip Only,M - Match,Y - Authenticated,Yes,201.243.137.230,Desktop Web,Yes,7,2026-06-11,ORD-202607-100362,2026-07-02 05:18:39,Smart Fitness Band,Electronics,ELC-1331-BLU,2,3.5,7,IDR,Completed,Delivered,FedEx,BD7684533347,2026-07-05,2026-07-09,2026-07-08,Yes - OTP Confirmed,N/A,Jl. Gatot Subroto Kav 21,Jakarta,DKI Jakarta,12930,ID,Yes,7665434528917652440,Ngozi Johnson,ngozi.johnson@yahoo.com,+62433879270,2023-01-31,Yes,Suspended,17,1912.84,112.52,ORD-202601-999924,2026-01-27,2,0,11.76,High,Decision Pending,
CB,NEED_RESPONSE,65jkhhdsfhsweriu10,2026-08-31 00:00:00,fraud,2026-06-11 09:41:37,13.2,13.25,7665434528917652441,Ahjkoiywebkbmxiykjsdfskjdhfsj,KLARNA,2026-07-02T23:58:14Z,33.78,USD,Complete support and/or Documentation not Provided,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.00709892767261191,89023303070534578610357,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,US,13.2,2026-06-11,CBK-2026-200052,2026-08-31 00:00:00,Yes,Stripe,Wells Fargo Bank N.A.,MID290679038,TXN-20260702-73697356,BRT484620049657,460971,BNPL,13.25,USD,Captured,2026-07-04,Y - Full Match,N - No Match,A - Attempted,No,18.197.25.42,Android App,Yes,13.25,2026-06-16,ORD-202607-100366,2026-07-02 23:05:14,Cotton Casual Shirt,Apparel,APP-4626-WHT,1,13.25,13.25,USD,Completed,Delivered,DPD,BD9019515562,2026-07-03,2026-07-09,2026-07-09,Yes - Signature,Wayan Brown,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652441,Wayan Brown,wayan.brown@outlook.com,+1388926290,2024-01-31,No,Under Review,39,8263.71,211.89,ORD-202511-121026,2025-11-23,0,0,0,Low,Not Fought,2026-06-26
CB,NEED_RESPONSE,63jhkdsawuieyj14,2026-09-01 00:00:00,others,2026-06-11 20:46:22,13.7,12.99,7665434528917652442,Ahjsgfskjaksldwuleurhjhjdhfsj,AMEX,2026-07-06T16:42:25Z,49.09,NGN,ReasonCode: RQ04,"RefundToCredit, OriginalRefund",0.00720368749316121,94417154544432830965207,American Express,373167XXXXX3837,373167,Debit,Capital One,US,13.7,2026-06-11,CBK-2026-200053,2026-09-01 00:00:00,Yes,Adyen,Adyen N.V.,MID534434754,TXN-20260706-62113377,ADY879893148317,699829,Card - Ecom,12.99,NGN,Captured,2026-07-09,Z - Zip Only,P - Not Processed,A - Attempted,No,182.183.153.217,Android App,Yes,12.99,2026-06-14,ORD-202607-100377,2026-07-06 15:29:25,Adjustable Dumbbell Set,Sports,SPT-3967-BLU,1,12.99,12.99,NGN,Completed,Delivered,Blue Dart,BD7973335079,2026-07-09,2026-07-11,2026-07-11,Yes - OTP Confirmed,N/A,742 Evergreen Terrace,Springfield,IL,62704,US,Yes,7665434528917652442,Michael Nakamura,michael.nakamura@outlook.com,+1605497119,2024-01-21,Yes,Active,58,7530.14,129.83,ORD-202601-860413,2026-01-09,0,0,0,Low,Decision Pending,
CB,NEED_RESPONSE,h5yiulkkas23490,2026-09-02 00:00:00,merchandise,2026-06-12 20:46:25,4000,114.8,7665434528917652443,Ahjkoiywebkbmxiykjsdfskjdhfsj,DISCOVER,2026-07-03T04:02:35Z,10.22,IDR,6041:Transaction Documentation Request for Fraud Analysis,OriginalRefund,0.0073084473137105,22356972521752500743292,Discover,601197XXXXXX6499,601197,Debit,Bank Mandiri,US,4000,2026-06-12,CBK-2026-200054,2026-09-02 00:00:00,No,Checkout.com,Checkout Ltd,MID759792599,TXN-20260703-68211760,WLP569883997086,600590,Card - Wallet Token,114.8,IDR,Captured,2026-07-04,Z - Zip Only,N - No Match,Y - Authenticated,Yes,14.164.97.5,iOS App,Yes,114.8,2026-06-17,ORD-202607-100382,2026-07-03 03:22:35,4K Action Camera,Electronics,ELC-5076-WHT,1,114.8,114.8,IDR,Completed,Delivered,GIG Logistics,DH5600836559,2026-07-04,2026-07-10,2026-07-10,Yes - OTP Confirmed,N/A,"55 Water Street, Floor 9",New York,NY,10041,US,Yes,7665434528917652443,Sari Nakamura,sari.nakamura@mail.com,+1435106513,2024-07-25,Yes,Active,24,2267.28,94.47,ORD-202605-502181,2026-05-29,0,0,0,Low,Decision Pending,
PRE_ARB,NEED_RESPONSE,viosdyui6890wek11,2026-09-03 00:00:00,authorization,2026-06-13 20:46:28,12.6.2,24.45,7665434528917652444,Ahjsgfskjaksldwuleurhjhjdhfsj,VISA,2026-06-23T05:43:59Z,365.94,USD,noncompliant,<UNSET>,0.0074132071342598,21506489090100167618472,Visa,431891XXXXXX2069,431891,Credit,Bank Central Asia,US,12.6.2,2026-06-13,CBK-2026-200055,2026-09-03 00:00:00,No,Braintree,PayPal Braintree,MID551907286,TXN-20260623-98807116,ADY674075993055,383091,Card - Ecom,24.45,USD,Settled,2026-06-24,Y - Full Match,N - No Match,A - Attempted,No,40.54.254.51,Android App,No,0,,ORD-202606-100390,2026-06-23 05:39:59,Smart Fitness Band,Electronics,ELC-5308-GRY,1,24.45,24.45,USD,Completed,Delivered,Blue Dart,FX2732553940,2026-06-24,2026-06-27,2026-06-27,Yes - Signature,Wayan Brown,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652444,Wayan Brown,wayan.brown@mail.com,+1484315640,2022-07-18,No,Active,9,1075.77,119.53,ORD-202602-268163,2026-02-03,3,2,33.33,High,Decision Pending,
PRE_ARB,NEED_RESPONSE,kmgjdshoiwer8801,2026-09-04 00:00:00,processing,2026-06-10 09:41:37,13.1,20.9,7665434528917652445,Ahjkoiywebkbmxiykjsdfskjdhfsj,MASTERCARD,2026-06-29T19:04:08Z,137.53,NGN,6042:Transaction Documentation Request Due to Cardholder Dispute,RefundToCredit,0.00751796695480909,01204556110022557941552,Mastercard,581845XXXXXX9132,581845,Credit,Access Bank,NG,13.1,2026-06-10,CBK-2026-200056,2026-09-04 00:00:00,Yes,Adyen,Adyen N.V.,MID590204687,TXN-20260629-46484819,WLP978227375056,542226,Card - Ecom,20.9,NGN,Captured,2026-06-30,Y - Full Match,M - Match,Y - Authenticated,Yes,37.213.247.206,Mobile Web,Yes,20.9,2026-06-14,ORD-202606-100395,2026-06-29 18:25:08,Leather Sneakers,Footwear,FTW-3969-GRY,3,6.97,20.9,NGN,Completed,Delivered,UPS,DH9912264204,2026-07-02,2026-07-04,2026-07-03,Yes - OTP Confirmed,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,No,7665434528917652445,Rahul Williams,rahul.williams@gmail.com,+234936621291,2026-05-04,Yes,Under Review,43,1812.45,42.15,ORD-202602-130216,2026-02-11,0,0,0,Low,Decision Pending,
PRE_ARB,NEED_RESPONSE,Agysjdkfshjdwewuier234993,2026-09-05 00:00:00,fraud,2026-06-10 20:46:22,Credit not processed,85.60,7665434528917652446,Ahjsgfskjaksldwuleurhjhjdhfsj,KLARNA,2026-06-21T01:41:15Z,60.22,IDR,The user reported that a full/partial return was made,"OriginalRefund, RefundToCredit",0.00762272677535839,91637562890028772175354,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,ID,Credit not processed,2026-06-10,CBK-2026-200057,2026-09-05 00:00:00,No,Checkout.com,Checkout Ltd,MID644311226,TXN-20260621-39891163,BRT515079887246,522866,BNPL,85.6,IDR,Captured,2026-06-22,N - No Match,P - Not Processed,N - Not Authenticated,No,216.229.45.220,Mobile Web,Yes,85.6,2026-06-13,ORD-202606-100404,2026-06-21 00:33:15,Premium Software Licence (1 yr),Digital Goods,DIG-8324-BLU,2,42.8,85.6,IDR,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-06-21,2026-06-21,2026-06-21,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),ID,N/A,7665434528917652446,Ngozi Lestari,ngozi.lestari@gmail.com,+62227460504,2026-01-13,No,Active,17,3651.09,214.77,ORD-202512-207629,2025-12-15,0,0,0,Low,Decision Pending,
PRE_ARB,NEED_RESPONSE,65jkhhdsfhsweriu11,2026-09-06 00:00:00,others,2026-06-10 20:46:25,RG,61.48,7665434528917652447,Ahjkoiywebkbmxiykjsdfskjdhfsj,AMEX,2026-06-28T23:42:35Z,12.08,USD,Unrecognizable charge. Credit/Explanation requested.,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.00772748659590768,05548851027261493316373,American Express,371587XXXXX9996,371587,Prepaid,Guaranty Trust Bank,NG,RG,2026-06-10,CBK-2026-200058,2026-09-06 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID912982916,TXN-20260628-65629268,ADY799764532583,978146,Card - Ecom,61.48,USD,Settled,2026-06-30,Z - Zip Only,P - Not Processed,Y - Authenticated,Yes,12.24.221.215,Mobile Web,Yes,61.48,2026-06-11,ORD-202606-100412,2026-06-28 23:28:35,Wireless Noise-Cancelling Headphones,Electronics,ELC-9328-WHT,1,61.48,61.48,USD,Completed,Delivered,Blue Dart,BD7871737874,2026-07-01,2026-07-08,2026-07-07,Yes - OTP Confirmed,N/A,"7 Aminu Kano Crescent, Wuse II",Abuja,FCT,900288,NG,Yes,7665434528917652447,Meera Nakamura,meera.nakamura@yahoo.com,+234884362665,2022-09-27,Yes,Active,43,6628.02,154.14,ORD-202604-506224,2026-04-14,0,0,0,Low,Decision Pending,
PRE_ARB,NEED_RESPONSE,63jhkdsawuieyj15,2026-09-07 00:00:00,merchandise,2026-06-10 20:46:28,RM,24.100,7665434528917652448,Ahjsgfskjaksldwuleurhjhjdhfsj,DISCOVER,2026-06-18T14:30:18Z,31.64,NGN,Fraudulent charge.,"RefundToCredit, OriginalRefund",0.00783224641645698,85158799684608106200342,Discover,601174XXXXXX7302,601174,Debit,Capital One,SG,RM,2026-06-10,CBK-2026-200059,2026-09-07 00:00:00,No,Cybersource,Chase Paymentech,MID166607238,TXN-20260618-49613096,STR695942148213,133875,Card - Recurring,24.1,NGN,Settled,2026-06-19,Z - Zip Only,P - Not Processed,Y - Authenticated,Yes,71.147.24.238,Mobile Web,Yes,24.1,2026-06-12,ORD-202606-100415,2026-06-18 13:05:18,Electric Toothbrush,Beauty,BTY-7349-RED,2,12.05,24.1,NGN,Completed,Delivered,Aramex,UP3716924538,2026-06-19,2026-06-22,2026-06-21,Yes - OTP Confirmed,N/A,"34 Orchard Road, #08-12",Singapore,Central,238867,SG,Yes,7665434528917652448,Sari Chen,sari.chen@mail.com,+65692839277,2024-06-16,Yes,Active,19,2909.28,153.12,ORD-202602-879794,2026-02-01,0,0,0,Low,Won,2026-06-15
PRE_ARB,NEED_RESPONSE,h5yiulkkas23491,2026-09-08 00:00:00,authorization,2026-06-11 09:41:37,UA,162.19,7665434528917652449,Ahjkoiywebkbmxiykjsdfskjdhfsj,VISA,2026-05-01T23:50:35Z,20.36,IDR,Goods/Services not received.,OriginalRefund,0.00793700623700627,72025909479851583281826,Visa,436619XXXXXX8259,436619,Prepaid,Barclays,SG,UA,2026-06-11,CBK-2026-200060,2026-09-08 00:00:00,Yes,Braintree,PayPal Braintree,MID198725784,TXN-20260501-56896070,STR335722394094,795556,Card - Recurring,162.19,IDR,Captured,2026-05-03,A - Address Only,M - Match,Y - Authenticated,Yes,203.243.4.30,Desktop Web,Yes,162.19,2026-06-16,ORD-202605-100421,2026-05-01 23:16:35,Cotton Casual Shirt,Apparel,APP-8301-WHT,3,54.06,162.19,IDR,Completed,Delivered,UPS,DH2620054076,2026-05-03,2026-05-07,2026-05-06,Yes - Signature,Ananya Johnson,"34 Orchard Road, #08-12",Singapore,Central,238867,SG,Yes,7665434528917652449,Ananya Johnson,ananya.johnson@yahoo.com,+65142817871,2024-08-07,Yes,Suspended,29,2004.19,69.11,ORD-202603-934883,2026-03-18,1,0,3.45,Medium,Not Fought,2026-07-18
PRE_ARB,NEED_RESPONSE,viosdyui6890wek12,2026-09-09 00:00:00,processing,2026-06-11 20:46:22,FR,325.95,7665434528917652450,Ahjsgfskjaksldwuleurhjhjdhfsj,MASTERCARD,2026-06-04T22:32:58Z,7.54,USD,ReasonCode: RQ11,<UNSET>,0.00804176605755557,61207501102481934667665,Mastercard,560577XXXXXX5203,560577,Credit,Access Bank,US,FR,2026-06-11,CBK-2026-200061,2026-09-09 00:00:00,No,Stripe,Wells Fargo Bank N.A.,MID674274037,TXN-20260604-10791740,BRT929200291511,882186,Card - Ecom,325.95,USD,Captured,2026-06-06,Y - Full Match,N - No Match,Y - Authenticated,Yes,212.154.44.73,Mobile Web,No,0,,ORD-202606-100429,2026-06-04 22:17:58,Mechanical Keyboard,Electronics,ELC-7249-RED,3,108.65,325.95,USD,Completed,Delivered,FedEx,DH9621419224,2026-06-05,2026-06-08,2026-06-08,Yes - OTP Confirmed,N/A,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652450,Arjun Garcia,arjun.garcia@mail.com,+1608940398,2023-08-13,Yes,Under Review,3,316.23,105.41,ORD-202601-330545,2026-01-24,1,1,33.33,Medium,Not Fought,2026-07-09
